,Vertices,Edges,Density,Degree,WeightedDegree,AverageDistance,MaximumDistance,Diameter,Convergence,Recurrence,Harmonic,Clustering,Entropy
Vertices,270.6598459888745,561.5838891768586,-3.1236664059662296,-17.76863047968384,-32.02232355273274,140.13338023685967,280.26676047371933,280.26676047371933,-23.23085783738162,-2.692097499613589,-0.962655404271615,-2.4843735835997074,-1.5124580237104988
Edges,561.5838891768586,4853.632901599643,-0.6689073566267653,179.8180028584784,61.90830818385217,-97.22112838247538,-194.44225676495077,-194.44225676495077,71.88803918067578,1.9546477695878832,-0.79519226468145,-1.1962394537992695,1.481876157644363
Density,-3.1236664059662296,-0.6689073566267653,0.0638529700237863,0.7020503625096179,0.8497879452841165,-2.0408721264969056,-4.081744252993811,-4.081744252993811,0.6345393154492268,0.02928656835864724,0.018123294784378307,0.057014943398665995,0.01561222458775524
Degree,-17.76863047968384,179.8180028584784,0.7020503625096179,16.100881416064233,12.975345171719304,-28.370145235345795,-56.74029047069159,-56.74029047069159,10.804477938555245,0.5002766639713867,0.16959259630431653,0.5822243295761806,0.2865709733620962
WeightedDegree,-32.02232355273274,61.90830818385217,0.8497879452841165,12.975345171719304,14.053891921031303,-24.293562796229732,-48.587125592459465,-48.587125592459465,10.6166876028745,0.28286616406938636,0.22292671986112966,0.7845681997237066,0.14474055111458942
AverageDistance,140.13338023685967,-97.22112838247538,-2.0408721264969056,-28.370145235345795,-24.293562796229732,132.655145659225,265.31029131845,265.31029131845,-20.73643270846706,-2.356651603030947,-0.586851052653707,-1.4657848082678564,-1.4197005405721728
MaximumDistance,280.26676047371933,-194.44225676495077,-4.081744252993811,-56.74029047069159,-48.587125592459465,265.31029131845,530.6205826369,530.6205826369,-41.47286541693412,-4.713303206061894,-1.173702105307414,-2.931569616535713,-2.8394010811443455
Diameter,280.26676047371933,-194.44225676495077,-4.081744252993811,-56.74029047069159,-48.587125592459465,265.31029131845,530.6205826369,530.6205826369,-41.47286541693412,-4.713303206061894,-1.173702105307414,-2.931569616535713,-2.8394010811443455
Convergence,-23.23085783738162,71.88803918067578,0.6345393154492268,10.804477938555245,10.6166876028745,-20.73643270846706,-41.47286541693412,-41.47286541693412,8.293128741571106,0.3105361826616833,0.16427768149164548,0.5615803925669708,0.1685383373009853
Recurrence,-2.692097499613589,1.9546477695878832,0.02928656835864724,0.5002766639713867,0.28286616406938636,-2.356651603030947,-4.713303206061894,-4.713303206061894,0.3105361826616833,0.07868656969382824,0.008817626999217735,0.010410588797087141,0.04581281007207613
Harmonic,-0.962655404271615,-0.79519226468145,0.018123294784378307,0.16959259630431653,0.22292671986112966,-0.586851052653707,-1.173702105307414,-1.173702105307414,0.16427768149164548,0.008817626999217735,0.0052868885879676425,0.016064211190936175,0.004709724978541713
Clustering,-2.4843735835997074,-1.1962394537992695,0.057014943398665995,0.5822243295761806,0.7845681997237066,-1.4657848082678564,-2.931569616535713,-2.931569616535713,0.5615803925669708,0.010410588797087141,0.016064211190936175,0.05471727554114641,0.004547979986790725
Entropy,-1.5124580237104988,1.481876157644363,0.01561222458775524,0.2865709733620962,0.14474055111458942,-1.4197005405721728,-2.8394010811443455,-2.8394010811443455,0.1685383373009853,0.04581281007207613,0.004709724978541713,0.004547979986790725,0.027141760136636325
