Left,Right,Count
8.0,8.56,35126
8.56,9.120000000000001,35414
9.120000000000001,9.68,0
9.68,10.24,35003
10.24,10.8,0
10.8,11.36,35052
11.36,11.92,0
11.92,12.48,35168
12.48,13.040000000000001,34988
13.040000000000001,13.600000000000001,0
13.600000000000001,14.16,35321
14.16,14.72,0
14.72,15.280000000000001,34979
15.280000000000001,15.84,0
15.84,16.4,34951
16.4,16.96,0
16.96,17.520000000000003,35195
17.520000000000003,18.080000000000002,34880
18.080000000000002,18.64,0
18.64,19.200000000000003,35228
19.200000000000003,19.76,0
19.76,20.32,35161
20.32,20.880000000000003,0
20.880000000000003,21.44,35109
21.44,22.0,0
22.0,22.560000000000002,35064
22.560000000000002,23.12,34799
23.12,23.68,0
23.68,24.240000000000002,35401
24.240000000000002,24.8,0
24.8,25.360000000000003,35155
25.360000000000003,25.92,0
25.92,26.48,34948
26.48,27.040000000000003,34950
27.040000000000003,27.6,0
27.6,28.160000000000004,34993
28.160000000000004,28.720000000000002,0
28.720000000000002,29.28,35061
29.28,29.840000000000003,0
29.840000000000003,30.400000000000002,34928
30.400000000000002,30.96,0
30.96,31.520000000000003,35303
31.520000000000003,32.08,35099
32.08,32.64,0
32.64,33.2,35163
33.2,33.760000000000005,0
33.760000000000005,34.32000000000001,34828
34.32000000000001,34.88,0
34.88,35.44,35123
35.44,36.0,0
36.0,36.56,35029
36.56,37.120000000000005,35311
37.120000000000005,37.68000000000001,0
37.68000000000001,38.24,35098
38.24,38.800000000000004,0
38.800000000000004,39.36,35255
39.36,39.92,0
39.92,40.480000000000004,35044
40.480000000000004,41.040000000000006,35392
41.040000000000006,41.6,0
41.6,42.160000000000004,35272
42.160000000000004,42.720000000000006,0
42.720000000000006,43.28,35002
43.28,43.84,0
43.84,44.400000000000006,34860
44.400000000000006,44.96,0
44.96,45.52,35024
45.52,46.080000000000005,35061
46.080000000000005,46.64,0
46.64,47.2,35055
47.2,47.760000000000005,0
47.760000000000005,48.32000000000001,35032
48.32000000000001,48.88,0
48.88,49.440000000000005,35176
49.440000000000005,50.00000000000001,34800
50.00000000000001,50.56,0
50.56,51.120000000000005,35206
51.120000000000005,51.68000000000001,0
51.68000000000001,52.24,35192
52.24,52.800000000000004,0
52.800000000000004,53.36000000000001,35159
53.36000000000001,53.92,0
53.92,54.480000000000004,35066
54.480000000000004,55.040000000000006,34854
55.040000000000006,55.6,0
55.6,56.160000000000004,35159
56.160000000000004,56.720000000000006,0
56.720000000000006,57.28,35029
57.28,57.84,0
57.84,58.400000000000006,35384
58.400000000000006,58.96000000000001,0
58.96000000000001,59.52,35217
59.52,60.080000000000005,34957
60.080000000000005,60.64000000000001,0
60.64000000000001,61.2,35025
61.2,61.760000000000005,0
61.760000000000005,62.32000000000001,35040
62.32000000000001,62.88,0
62.88,63.440000000000005,34838
63.440000000000005,64.0,35073
