Left,Right,Count
1.2246467991473532e-16,0.010000000000000122,8637
0.010000000000000122,0.02000000000000012,909
0.02000000000000012,0.030000000000000117,1773
0.030000000000000117,0.04000000000000012,1040
0.04000000000000012,0.050000000000000114,2329
0.050000000000000114,0.060000000000000116,2098
0.060000000000000116,0.07000000000000012,2501
0.07000000000000012,0.08000000000000011,889
0.08000000000000011,0.09000000000000011,3193
0.09000000000000011,0.1000000000000001,2240
0.1000000000000001,0.11000000000000011,6958
0.11000000000000011,0.1200000000000001,14206
0.1200000000000001,0.1300000000000001,14766
0.1300000000000001,0.1400000000000001,18549
0.1400000000000001,0.15000000000000008,19831
0.15000000000000008,0.1600000000000001,18467
0.1600000000000001,0.1700000000000001,21856
0.1700000000000001,0.18000000000000008,23610
0.18000000000000008,0.19000000000000009,23296
0.19000000000000009,0.20000000000000007,21846
0.20000000000000007,0.21000000000000008,25631
0.21000000000000008,0.22000000000000008,22704
0.22000000000000008,0.23000000000000007,25998
0.23000000000000007,0.24000000000000007,26494
0.24000000000000007,0.2500000000000001,23550
0.2500000000000001,0.26000000000000006,26373
0.26000000000000006,0.2700000000000001,25129
0.2700000000000001,0.2800000000000001,25979
0.2800000000000001,0.2900000000000001,26618
0.2900000000000001,0.30000000000000004,25297
0.30000000000000004,0.31000000000000005,25614
0.31000000000000005,0.32000000000000006,25853
0.32000000000000006,0.33000000000000007,26073
0.33000000000000007,0.3400000000000001,28502
0.3400000000000001,0.35000000000000003,28183
0.35000000000000003,0.36000000000000004,27202
0.36000000000000004,0.37000000000000005,25736
0.37000000000000005,0.38000000000000006,27957
0.38000000000000006,0.39000000000000007,27790
0.39000000000000007,0.4,26115
0.4,0.41000000000000003,27862
0.41000000000000003,0.42000000000000004,23004
0.42000000000000004,0.43000000000000005,24449
0.43000000000000005,0.44000000000000006,25930
0.44000000000000006,0.45000000000000007,23149
0.45000000000000007,0.46,20671
0.46,0.47000000000000003,24318
0.47000000000000003,0.48000000000000004,20593
0.48000000000000004,0.49000000000000005,19123
0.49000000000000005,0.5000000000000001,26466
0.5000000000000001,0.51,17485
0.51,0.52,17602
0.52,0.53,20312
0.53,0.54,19225
0.54,0.55,20531
0.55,0.56,15858
0.56,0.5700000000000001,18620
0.5700000000000001,0.5800000000000001,16463
0.5800000000000001,0.59,21756
0.59,0.6,14077
0.6,0.61,16441
0.61,0.62,16609
0.62,0.63,17411
0.63,0.64,17985
0.64,0.65,17446
0.65,0.66,16721
0.66,0.67,14510
0.67,0.68,14562
0.68,0.6900000000000001,14980
0.6900000000000001,0.7,18193
0.7,0.71,16891
0.71,0.72,14884
0.72,0.73,16451
0.73,0.74,13818
0.74,0.75,16322
0.75,0.76,16579
0.76,0.77,15753
0.77,0.78,14334
0.78,0.79,18758
0.79,0.7999999999999999,15846
0.7999999999999999,0.8099999999999999,14385
0.8099999999999999,0.82,16776
0.82,0.83,18745
0.83,0.84,14156
0.84,0.85,17042
0.85,0.86,15960
0.86,0.87,21844
0.87,0.88,15207
0.88,0.89,18028
0.89,0.9,17321
0.9,0.9099999999999999,27682
0.9099999999999999,0.9199999999999999,15693
0.9199999999999999,0.9299999999999999,20893
0.9299999999999999,0.94,22907
0.94,0.95,25621
0.95,0.96,26802
0.96,0.97,28807
0.97,0.98,34811
0.98,0.99,46455
0.99,1.0,107085
